"","secao","nome_secao","divisao","nome_divisao","grupo","nome_grupo","classe","nome_classe","notas_explicativas"
"1","A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.1",". Produção de lavouras temporárias","01.113",".- Cultivo de cereais","Este grupo compreende o cultivo de plantas de ciclo vegetativo de curta duração, até 1 (um) ano, utilizando técnicas de cultivo tradicional, orgânico, ou ainda o cultivo de plantas modificadas geneticamente."
"2","A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.1",". Produção de lavouras temporárias","01.121",".- Cultivo de algodão herbáceo e de outras fibras de lavoura temporária","Este grupo compreende o cultivo de plantas de ciclo vegetativo de curta duração, até 1 (um) ano, utilizando técnicas de cultivo tradicional, orgânico, ou ainda o cultivo de plantas modificadas geneticamente."
"3","A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.1",". Produção de lavouras temporárias","01.130",".- Cultivo de cana-de-açúcar","Este grupo compreende o cultivo de plantas de ciclo vegetativo de curta duração, até 1 (um) ano, utilizando técnicas de cultivo tradicional, orgânico, ou ainda o cultivo de plantas modificadas geneticamente."
"4","A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.1",". Produção de lavouras temporárias","01.148",".- Cultivo de fumo","Este grupo compreende o cultivo de plantas de ciclo vegetativo de curta duração, até 1 (um) ano, utilizando técnicas de cultivo tradicional, orgânico, ou ainda o cultivo de plantas modificadas geneticamente."
"5","A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.1",". Produção de lavouras temporárias","01.156",".- Cultivo de soja","Este grupo compreende o cultivo de plantas de ciclo vegetativo de curta duração, até 1 (um) ano, utilizando técnicas de cultivo tradicional, orgânico, ou ainda o cultivo de plantas modificadas geneticamente."
"6","A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.1",". Produção de lavouras temporárias","01.164",".- Cultivo de oleaginosas de lavoura temporária, exceto soja","Este grupo compreende o cultivo de plantas de ciclo vegetativo de curta duração, até 1 (um) ano, utilizando técnicas de cultivo tradicional, orgânico, ou ainda o cultivo de plantas modificadas geneticamente."
"7","A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.1",". Produção de lavouras temporárias","01.199",".- Cultivo de plantas de lavoura temporária não especificadas anteriormente","Este grupo compreende o cultivo de plantas de ciclo vegetativo de curta duração, até 1 (um) ano, utilizando técnicas de cultivo tradicional, orgânico, ou ainda o cultivo de plantas modificadas geneticamente."
"8","A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.2",". Horticultura e floricultura","01.211",".- Horticultura","Este grupo compreende o cultivo de produtos hortícolas e de plantas da floricultura - flores, folhagens e plantas ornamentais - para corte, vasos, jardino-cultura, ornamentação ou paisagismo. Os produtos hortícolas são plantas de consistência herbácea com ciclo vegetativo de até 6 (seis) meses, normalmente cultivadas de forma intensiva. As plantas da floricultura têm ciclos vegetativos de curta, média ou de longa duração. As plantas deste grupo são cultivadas em ambiente natural ou protegido (estufas, casas de vegetação, hidroponia, plasticultura), utilizando técnicas de cultivo tradicional, orgânico, ou ainda o cultivo de plantas modificadas geneticamente."
"9","A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.2",". Horticultura e floricultura","01.229",".- Cultivo de flores e plantas ornamentais","Este grupo compreende o cultivo de produtos hortícolas e de plantas da floricultura - flores, folhagens e plantas ornamentais - para corte, vasos, jardino-cultura, ornamentação ou paisagismo. Os produtos hortícolas são plantas de consistência herbácea com ciclo vegetativo de até 6 (seis) meses, normalmente cultivadas de forma intensiva. As plantas da floricultura têm ciclos vegetativos de curta, média ou de longa duração. As plantas deste grupo são cultivadas em ambiente natural ou protegido (estufas, casas de vegetação, hidroponia, plasticultura), utilizando técnicas de cultivo tradicional, orgânico, ou ainda o cultivo de plantas modificadas geneticamente."
"10","A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.3",". Produção de lavouras permanentes","01.318",".- Cultivo de laranja","Este grupo compreende o cultivo de plantas perenes, isto é, de ciclo vegetativo de longa duração. Essas plantas produzem por vários anos sucessivos sem a necessidade de novos plantios após colheita, sendo utilizadas técnicas de cultivo tradicional, orgânico, assim como o cultivo de plantas modificadas geneticamente."
"11","A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.3",". Produção de lavouras permanentes","01.326",".- Cultivo de uva","Este grupo compreende o cultivo de plantas perenes, isto é, de ciclo vegetativo de longa duração. Essas plantas produzem por vários anos sucessivos sem a necessidade de novos plantios após colheita, sendo utilizadas técnicas de cultivo tradicional, orgânico, assim como o cultivo de plantas modificadas geneticamente."
"12","A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.3",". Produção de lavouras permanentes","01.334",".- Cultivo de frutas de lavoura permanente, exceto laranja e uva","Este grupo compreende o cultivo de plantas perenes, isto é, de ciclo vegetativo de longa duração. Essas plantas produzem por vários anos sucessivos sem a necessidade de novos plantios após colheita, sendo utilizadas técnicas de cultivo tradicional, orgânico, assim como o cultivo de plantas modificadas geneticamente."
"13","A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.3",". Produção de lavouras permanentes","01.342",".- Cultivo de café","Este grupo compreende o cultivo de plantas perenes, isto é, de ciclo vegetativo de longa duração. Essas plantas produzem por vários anos sucessivos sem a necessidade de novos plantios após colheita, sendo utilizadas técnicas de cultivo tradicional, orgânico, assim como o cultivo de plantas modificadas geneticamente."
"14","A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.3",". Produção de lavouras permanentes","01.351",".- Cultivo de cacau","Este grupo compreende o cultivo de plantas perenes, isto é, de ciclo vegetativo de longa duração. Essas plantas produzem por vários anos sucessivos sem a necessidade de novos plantios após colheita, sendo utilizadas técnicas de cultivo tradicional, orgânico, assim como o cultivo de plantas modificadas geneticamente."
"15","A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.3",". Produção de lavouras permanentes","01.393",".- Cultivo de plantas de lavoura permanente não especificadas anteriormente","Este grupo compreende o cultivo de plantas perenes, isto é, de ciclo vegetativo de longa duração. Essas plantas produzem por vários anos sucessivos sem a necessidade de novos plantios após colheita, sendo utilizadas técnicas de cultivo tradicional, orgânico, assim como o cultivo de plantas modificadas geneticamente."
"16","A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.4",". Produção de sementes e mudas certificadas","01.415",".- Produção de sementes certificadas","Este grupo compreende a produção de sementes e mudas certificadas. A produção de sementes e mudas certificadas é realizada por produtores agrícolas especializados a partir de sementes básicas que resultam da multiplicação de sementes genéticas, desenvolvidas em laboratório. A permanência das características obtidas com o melhoramento genético é garantida pela entidade certificadora da semente genética, através de testes em laboratórios de análise de sementes e de plantio em campo. O melhoramento genético pode ser obtido de forma tradicional, a partir de cruzamento de plantas, ou com o uso de engenharia genética, envolvendo interferência direta no DNA da planta."
"17","A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.4",". Produção de sementes e mudas certificadas","01.423",".- Produção de mudas e outras formas de propagação vegetal, certificadas","Este grupo compreende a produção de sementes e mudas certificadas. A produção de sementes e mudas certificadas é realizada por produtores agrícolas especializados a partir de sementes básicas que resultam da multiplicação de sementes genéticas, desenvolvidas em laboratório. A permanência das características obtidas com o melhoramento genético é garantida pela entidade certificadora da semente genética, através de testes em laboratórios de análise de sementes e de plantio em campo. O melhoramento genético pode ser obtido de forma tradicional, a partir de cruzamento de plantas, ou com o uso de engenharia genética, envolvendo interferência direta no DNA da planta."
"18","A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.5",". Pecuária","01.512",".- Criação de bovinos","Este grupo compreende a criação e a produção animal, exceto animais aquáticos. Neste grupo as classes de atividades são organizadas segundo a espécie animal. Este grupo compreende também a criação de animais modificados geneticamente. Este grupo não compreende o alojamento do gado por curta duração (grupo 01.6)."
"19","A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.5",". Pecuária","01.521",".- Criação de outros animais de grande porte","Este grupo compreende a criação e a produção animal, exceto animais aquáticos. Neste grupo as classes de atividades são organizadas segundo a espécie animal. Este grupo compreende também a criação de animais modificados geneticamente. Este grupo não compreende o alojamento do gado por curta duração (grupo 01.6)."
"20","A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.5",". Pecuária","01.539",".- Criação de caprinos e ovinos","Este grupo compreende a criação e a produção animal, exceto animais aquáticos. Neste grupo as classes de atividades são organizadas segundo a espécie animal. Este grupo compreende também a criação de animais modificados geneticamente. Este grupo não compreende o alojamento do gado por curta duração (grupo 01.6)."
"21","A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.5",". Pecuária","01.547",".- Criação de suínos","Este grupo compreende a criação e a produção animal, exceto animais aquáticos. Neste grupo as classes de atividades são organizadas segundo a espécie animal. Este grupo compreende também a criação de animais modificados geneticamente. Este grupo não compreende o alojamento do gado por curta duração (grupo 01.6)."
"22","A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.5",". Pecuária","01.555",".- Criação de aves","Este grupo compreende a criação e a produção animal, exceto animais aquáticos. Neste grupo as classes de atividades são organizadas segundo a espécie animal. Este grupo compreende também a criação de animais modificados geneticamente. Este grupo não compreende o alojamento do gado por curta duração (grupo 01.6)."
"23","A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.5",". Pecuária","01.598",".- Criação de animais não especificados anteriormente","Este grupo compreende a criação e a produção animal, exceto animais aquáticos. Neste grupo as classes de atividades são organizadas segundo a espécie animal. Este grupo compreende também a criação de animais modificados geneticamente. Este grupo não compreende o alojamento do gado por curta duração (grupo 01.6)."
"24","A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.6",". Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita","01.610",".- Atividades de apoio à agricultura","Não há notas explicativas disponíveis para esta categoria."
"25","A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.6",". Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita","01.628",".- Atividades de apoio à pecuária","Não há notas explicativas disponíveis para esta categoria."
